Ticker,Date,Open,High,Low,Close,Change,% Change,Volume
FPT,27/07/2021,55558.02016689283,55852.28934150561,54439.79730336426,54851.77414782216,,,6783100
FPT,26/07/2021,53145.01293506804,55263.750992280045,53086.15910014548,55146.04332243493,,,7447600
FPT,23/07/2021,52615.32842076503,54675.21264305449,52203.35157630714,53262.72060491314,,,7745700
FPT,22/07/2021,50732.00570324324,52733.03609061014,50732.00570324324,52615.32842076503,,,4475571
FPT,21/07/2021,51085.128712778576,51732.52089692669,50673.15186832068,50967.42104293346,,,4340686
FPT,20/07/2021,49908.052014327455,51085.128712778576,49378.367500024455,51085.128712778576,,,3895576
FPT,19/07/2021,50143.46735401768,50849.71337308835,49731.490509559786,49849.1981794049,,,3628800
FPT,16/07/2021,50555.44419847557,51791.374731849246,50320.02885878535,51085.128712778576,,,2385700
FPT,15/07/2021,49849.1981794049,50967.42104293346,49849.1981794049,50261.1750238628,,,2734600
FPT,14/07/2021,51555.95939215902,51555.95939215902,49849.1981794049,50143.46735401768,,,2607200
FPT,13/07/2021,51143.98254770113,51379.39788739135,50025.75968417257,51202.83638262369,,,2634900
FPT,12/07/2021,52262.20541122969,52791.8899255327,49201.80599525679,50673.15186832068,,,7615900
FPT,09/07/2021,52733.03609061014,54145.52812875148,52262.20541122969,52791.8899255327,,,4288900
FPT,08/07/2021,53203.866769990585,53262.72060491314,52379.9130810748,52850.74376045525,,,2617322
FPT,07/07/2021,51202.83638262369,53556.98977952592,50025.75968417257,53262.72060491314,,,6182100
FPT,06/07/2021,54439.79730336426,54734.066477977045,51202.83638262369,51202.83638262369,,,3824100
FPT,05/07/2021,55911.143176428166,55911.143176428166,53556.98977952592,54557.504973209376,,,6430028
FPT,02/07/2021,52556.47458584247,54439.79730336426,52321.05924615225,54086.67429382893,,,3908500
FPT,01/07/2021,51850.2285667718,52321.05924615225,51791.374731849246,52321.05924615225,,,1700100
FPT,30/06/2021,52379.9130810748,52438.76691599736,51791.374731849246,51791.374731849246,,,2174432
FPT,29/06/2021,50967.42104293346,52379.9130810748,50790.859538165794,52144.497741384585,,,5571900
FPT,28/06/2021,50673.15186832068,50673.15186832068,50261.1750238628,50437.736528630456,,,1858800
FPT,25/06/2021,49849.1981794049,50261.1750238628,49554.92900479212,50143.46735401768,,,1613400
FPT,24/06/2021,49613.78283971467,49966.90584925001,49378.367500024455,49849.1981794049,,,2207800
FPT,23/06/2021,50202.32118894024,50378.8826937079,49496.07516986956,49966.90584925001,,,3010300
FPT,22/06/2021,50673.15186832068,50967.42104293346,50261.1750238628,50261.1750238628,,,3285300
FPT,21/06/2021,49201.80599525679,50790.859538165794,48966.39065556656,50378.8826937079,,,3990900
FPT,18/06/2021,48907.536820644,49554.92900479212,48672.12148095378,49319.5136651019,,,1728500
FPT,17/06/2021,48318.99847141845,48907.536820644,48318.99847141845,48613.26764603122,,,2346400
FPT,16/06/2021,48966.39065556656,49790.34434448234,48672.12148095378,48907.536820644,,,2774400
FPT,15/06/2021,49319.5136651019,49731.490509559786,48966.39065556656,48966.39065556656,,,1778700
FPT,14/06/2021,49142.95216033423,49790.34434448234,48848.68298572145,49319.5136651019,,,4650976
FPT,11/06/2021,47965.87546188311,49378.367500024455,47848.167792038,49142.95216033423,,,2439600
FPT,10/06/2021,48083.58313172822,48554.413811108665,47671.606287270326,48201.29080157333,,,2578556
FPT,09/06/2021,47436.19094758011,48318.99847141845,46494.52958881921,48083.58313172822,,,3602100
FPT,08/06/2021,48260.14463649589,48848.68298572145,47436.19094758011,47553.89861742521,,,4886000
FPT,07/06/2021,49790.34434448234,49849.1981794049,47671.606287270326,48672.12148095378,,,4269800
FPT,04/06/2021,50025.75968417257,50084.613519095125,49319.5136651019,49849.1981794049,,,5945600
FPT,03/06/2021,50025.75968417257,50261.1750238628,49613.78283971467,50143.46735401768,,,4495770
FPT,02/06/2021,51261.690217546246,51497.105557236464,50025.75968417257,50320.02885878535,,,5240005
FPT,01/06/2021,51732.52089692669,52085.64390646203,51202.83638262369,51261.690217546246,,,3495000
