STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
56;1.013752.H24;Cho phép trung tâm giáo dục thường xuyên, trung tâm giáo dục nghề nghiệp - giáo dục thường xuyên tư thục hoạt động trở lại;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
57;1.012970.H24;Cho phép trung tâm học tập cộng đồng hoạt động trở lại;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
58;1.013756.H24;Cho phép trung tâm hỗ trợ phát triển giáo dục hòa nhập tư thục hoạt động trở lại;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
59;3.000316.H24;Cho phép trung tâm khác thực hiện nhiệm vụ giáo dục thường xuyên hoạt động trở lại;Giáo dục thường xuyên;UBND Thành phố Hải Phòng
60;3.000302.H24;Cho phép trường dành cho người khuyết tật hoạt động giáo dục;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
61;3.000303.H24;Cho phép trường dành cho người khuyết tật hoạt động giáo dục trở lại;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
62;1.006390.000.00.00.H24;Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục;Giáo dục mầm non;UBND Thành phố Hải Phòng
63;1.006444.000.00.00.H24;Cho phép trường mẫu giáo, trường mầm non, nhà trẻ hoạt động giáo dục trở lại;Giáo dục mầm non;UBND Thành phố Hải Phòng
64;3.000297.H24;Cho phép trường năng khiếu nghệ thuật, thể dục, thể thao hoạt động giáo dục;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
65;3.000298.H24;Cho phép trường năng khiếu nghệ thuật, thể dục, thể thao hoạt động giáo dục trở lại;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
66;2.001842.000.00.00.H24;Cho phép trường tiểu học hoạt động giáo dục;Giáo dục tiểu học;UBND Thành phố Hải Phòng
67;1.004552.000.00.00.H24;Cho phép trường tiểu học hoạt động giáo dục trở lại;Giáo dục tiểu học;UBND Thành phố Hải Phòng
68;1.012965.H24;Cho phép trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở hoạt động giáo dục;Giáo dục trung học;UBND Thành phố Hải Phòng
69;1.012966.H24;Cho phép trường trung học cơ sở, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học cơ sở hoạt động giáo dục trở lại;Giáo dục trung học;UBND Thành phố Hải Phòng
70;1.005008.000.00.00.H24;Cho phép trường trung học phổ thông chuyên hoạt động giáo dục;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
71;1.004988.000.00.00.H24;Cho phép trường trung học phổ thông chuyên hoạt động trở lại;Các cơ sở giáo dục khác;UBND Thành phố Hải Phòng
72;1.012953.H24;Cho phép trường trung học phổ thông, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học phổ thông hoạt động giáo dục;Giáo dục trung học;UBND Thành phố Hải Phòng
73;1.012954.H24;Cho phép trường trung học phổ thông, trường phổ thông có nhiều cấp học có cấp học cao nhất là trung học phổ thông hoạt động giáo dục trở lại;Giáo dục trung học;UBND Thành phố Hải Phòng
74;1.012257.000.00.00.H24;Cho phép tổ chức hoạt động khám bệnh, chữa bệnh nhân đạo theo đợt, khám bệnh, chữa bệnh lưu động thuộc trường hợp quy định tại khoản 1 Điều 79 của Luật Khám bệnh, chữa bệnh hoặc cá nhân khám bệnh, chữa bệnh nhân đạo;Khám bệnh, chữa bệnh;UBND Thành phố Hải Phòng
75;2.002311.000.00.00.H24;Cho phép tổ chức hội nghị, hội thảo quốc tế thuộc thẩm quyền cho phép của Thủ tướng Chính phủ;Hội nghị, hội thảo quốc tế;UBND Thành phố Hải Phòng
76;1.004117.H24;Cho phép đưa nguồn gen ra nước ngoài phục vụ học tập, nghiên cứu không vì mục đích thương mại;Bảo tồn thiên nhiên và Đa dạng sinh học;UBND Thành phố Hải Phòng
77;1.013763.H24;Cho phép đổi tên trung tâm giáo dục nghề nghiệp, trường trung cấp tư thục trên địa bàn tỉnh, thành phố trực thuộc trung ương;Giáo dục nghề nghiệp;UBND Thành phố Hải Phòng
78;1.012891.H24;Cho thuê nhà ở công vụ thuộc thẩm quyền quản lý của địa phương;Nhà ở và công sở;UBND Thành phố Hải Phòng
79;1.012892.H24;Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp chưa có hợp đồng thuê nhà ở;Nhà ở và công sở;UBND Thành phố Hải Phòng
80;1.012898.H24;Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp ký lại hợp đồng thuê;Nhà ở và công sở;UBND Thành phố Hải Phòng
81;1.012897.H24;Cho thuê nhà ở cũ thuộc tài sản công đối với trường hợp nhận chuyển quyền thuê nhà ở;Nhà ở và công sở;UBND Thành phố Hải Phòng
82;1.007765.H24;Cho thuê nhà ở sinh viên thuộc sở hữu nhà nước;Nhà ở và công sở;UBND Thành phố Hải Phòng
83;1.012896.H24;Cho thuê, cho thuê mua nhà ở xã hội do Nhà nước đầu tư xây dựng bằng vốn đầu tư công;Nhà ở và công sở;UBND Thành phố Hải Phòng
84;1.009788.000.00.00.H24;Cho ý kiến về kết quả đánh giá an toàn công trình đối với công trình xây dựng nằm trên địa bàn tỉnh.;Quản lý chất lượng công trình xây dựng;UBND Thành phố Hải Phòng
85;1.009791.000.00.00.H24;Cho ý kiến về việc kéo dài thời hạn sử dụng của công trình hết thời hạn sử dụng theo thiết kế nhưng có nhu cầu sử dụng tiếp (trừ trường hợp nhà ở riêng lẻ);Quản lý chất lượng công trình xây dựng;UBND Thành phố Hải Phòng
86;3.000256.H24;Chuyển giao công trình điện là hạ tầng kỹ thuật sử dụng chung trong các dự án khu đô thị, khu dân cư và dự án khác do chủ đầu tư phải bàn giao lại cho Nhà nước theo quy định của pháp luật;Quản lý công sản;UBND Thành phố Hải Phòng
87;1.012070.H24;Chuyển giao quyền sử dụng giống cây trồng được bảo hộ theo quyết định bắt buộc;Trồng trọt;UBND Thành phố Hải Phòng
88;1.013825.H24;Chuyển hình thức giao đất, cho thuê đất;Đất đai;UBND Thành phố Hải Phòng
89;1.013950.H24;Chuyển hình thức giao đất, cho thuê đất.;Đất đai;UBND Thành phố Hải Phòng
90;1.008936.000.00.00.H24;Chuyển nhượng Văn phòng Thừa phát lại;Thừa phát lại;UBND Thành phố Hải Phòng
91;1.013846.H24;Chuyển nhượng toàn bộ phần vốn góp của toàn bộ thành viên hợp danh của Văn phòng công chứng;Công chứng;UBND Thành phố Hải Phòng
92;2.000178.000.00.00.H24;Chuyển nơi hưởng trợ cấp thất nghiệp (chuyển đi);Việc làm;UBND Thành phố Hải Phòng
93;1.000401.000.00.00.H24;Chuyển nơi hưởng trợ cấp thất nghiệp (chuyển đến);Việc làm;UBND Thành phố Hải Phòng
94;1.011445.H24;Chuyển tiếp đăng ký thế chấp quyền tài sản phát sinh từ hợp đồng mua bán nhà ở hoặc từ hợp đồng mua bán tài sản khác gắn liền với đất;Đăng ký biện pháp bảo đảm;UBND Thành phố Hải Phòng
95;1.005099.000.00.00.H24;Chuyển trường đối với học sinh tiểu học;Giáo dục tiểu học;UBND Thành phố Hải Phòng
96;2.002481.000.00.00.H24;Chuyển trường đối với học sinh trung học cơ sở.;Giáo dục trung học;UBND Thành phố Hải Phòng
97;2.002478.000.00.00.H24;Chuyển trường đối với học sinh trung học phổ thông.;Giáo dục trung học;UBND Thành phố Hải Phòng
98;2.001942.000.00.00.H24;Chuyển trẻ em đang được chăm sóc thay thế tại cơ sở trợ giúp xã hội đến cá nhân, gia đình nhận chăm sóc thay thế;Trẻ em;UBND Thành phố Hải Phòng
99;3.000424.H24;Chuyển từ hình thức giao tài sản kết cấu hạ tầng đường sắt quốc gia/đô thị không tính thành phần vốn nhà nước tại doanh nghiệp sang hình thức tính thành phần vốn nhà nước tại doanh nghiệp;Quản lý tài sản công;UBND Thành phố Hải Phòng
100;1.013849.H24;Chuyển đổi Văn phòng công chứng theo loại hình doanh nghiệp tư nhân thành Văn phòng công chứng theo loại hình công ty hợp danh;Công chứng;UBND Thành phố Hải Phòng
101;1.012883.H24;Chuyển đổi công năng nhà ở đối với nhà ở xây dựng trong dự án thuộc thẩm quyền chấp thuận của UBND cấp tỉnh;Nhà ở và công sở;UBND Thành phố Hải Phòng
102;2.002666.H24;Chuyển đổi công ty con chưa chuyển đổi thành công ty TNHH MTV;Chuyển đổi công ty nhà nước được thành lập và hoạt động theo Luật Doanh nghiệp nhà nước thành công ty trách nhiệm hữu hạn một thành viên tổ chức và hoạt động theo quy định tại Luật Doanh nghiệp;UBND Thành phố Hải Phòng
103;1.008709.H24;Chuyển đổi công ty luật trách nhiệm hữu hạn và công ty luật hợp danh, chuyển đổi văn phòng luật sư thành công ty luật;Luật sư;UBND Thành phố Hải Phòng
104;2.002665.H24;Chuyển đổi công ty nhà nước thành công ty TNHH MTV do Nhà nước nắm giữ 100% vốn điều lệ;Chuyển đổi công ty nhà nước được thành lập và hoạt động theo Luật Doanh nghiệp nhà nước thành công ty trách nhiệm hữu hạn một thành viên tổ chức và hoạt động theo quy định tại Luật Doanh nghiệp;UBND Thành phố Hải Phòng
105;2.002033.000.00.00.H24;Chuyển đổi công ty trách nhiệm hữu hạn một thành viên thành công ty trách nhiệm hữu hạn hai thành viên trở lên;Thành lập và hoạt động của doanh nghiệp;UBND Thành phố Hải Phòng
106;2.002034.000.00.00.H24;Chuyển đổi công ty trách nhiệm hữu hạn thành công ty cổ phần và ngược lại;Thành lập và hoạt động của doanh nghiệp;UBND Thành phố Hải Phòng
107;1.008004.000.00.00.H24;Chuyển đổi cơ cấu cây trồng, vật nuôi trên đất trồng lúa;Trồng trọt;UBND Thành phố Hải Phòng
108;1.008720.H24;Chuyển đổi cơ sở giáo dục mầm non tư thục do cơ quan đại diện ngoại giao nước ngoài, tổ chức quốc tế liên chính phủ đề nghị sang cơ sở giáo dục mầm non tư thục hoạt động không vì lợi nhuận;Giáo dục, đào tạo với nước ngoài;UBND Thành phố Hải Phòng
