STT;Mã;Tên;Lĩnh vực;Cơ quan công bố
1732;2.002407.000.00.00.H24;Thủ tục giải quyết khiếu nại lần đầu tại cấp tỉnh;Giải quyết khiếu nại;UBND Thành phố Hải Phòng
1733;2.002409.000.00.00.H24;Thủ tục giải quyết khiếu nại lần đầu tại cấp xã;Giải quyết khiếu nại;UBND Thành phố Hải Phòng
1734;2.000592.000.00.00.H24;Thủ tục giải quyết khiếu nại về trợ giúp pháp lý;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1735;2.002394.000.00.00.H24;Thủ tục giải quyết tố cáo tại cấp tỉnh;Giải quyết tố cáo;UBND Thành phố Hải Phòng
1736;2.002396.000.00.00.H24;Thủ tục giải quyết tố cáo tại cấp xã;Giải quyết tố cáo;UBND Thành phố Hải Phòng
1737;1.003999.000.00.00.H24;Thủ tục giải thể tổ chức thanh niên xung phong cấp tỉnh;Công tác thanh niên;UBND Thành phố Hải Phòng
1738;1.014310.H24;Thủ tục hưởng trợ cấp sinh hoạt hàng tháng đối với Nghệ nhân nhân dân, Nghệ nhân ưu tú;Di sản văn hóa;UBND Thành phố Hải Phòng
1739;2.001137.000.00.00.H24;Thủ tục hỗ trợ doanh nghiệp có dự án thuộc ngành, nghề ưu đãi đầu tư, địa bàn ưu đãi đầu tư nhận chuyển giao công nghệ từ tổ chức khoa học và công nghệ.;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1740;1.002690.000.00.00.H24;Thủ tục hỗ trợ doanh nghiệp, tổ chức, cá nhân thực hiện giải mã công nghệ.;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1741;3.000161.H24;Thủ tục hỗ trợ lãi suất vay vốn tại tổ chức tín dụng để đầu tư phương tiện, đầu tư kết cấu hạ tầng phụ vụ vận tải hành khách công cộng bằng xe buýt theo quy định tại Khoản 3 Điều 4, Khoản 3 Điều 5 Quyết định số 13/2015/QĐ-TTg ngày 05/5/2015 của Thủ tướng Chính phủ về cơ chế, chính sách khuyến khích phát triển vận tải hành khách công cộng bằng xe buýt.;Tài chính ngân hàng;UBND Thành phố Hải Phòng
1742;2.001143.000.00.00.H24;Thủ tục hỗ trợ phát triển tổ chức trung gian của thị trường khoa học và công nghệ.;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1743;2.001999.000.00.00.H24;Thủ tục hỗ trợ tư vấn, hướng dẫn hồ sơ, thủ tục chuyển đổi hộ kinh doanh thành doanh nghiệp;Hỗ trợ doanh nghiệp nhỏ và vừa;UBND Thành phố Hải Phòng
1744;2.001643.000.00.00.H24;Thủ tục hỗ trợ tổ chức khoa học và công nghệ có hoạt động liên kết với tổ chức ứng dụng, chuyển giao công nghệ địa phương để hoàn thiện kết quả nghiên cứu khoa học và phát triển công nghệ.;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1745;1.012085.000.00.00.H24;Thủ tục hủy bỏ Quyết định cấm tiếp xúc theo đơn đề nghị;Gia đình;UBND Thành phố Hải Phòng
1746;3.000471.H24;Thủ tục hủy bỏ hiệu lực của quyết định chứng nhận chuẩn đo lường;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1747;3.000473.H24;Thủ tục hủy bỏ hiệu lực của quyết định chứng nhận, cấp thẻ kiểm định viên đo lường;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1748;2.002385.000.00.00.H24;Thủ tục khai báo thiết bị X-quang chẩn đoán trong y tế.;An toàn bức xạ và hạt nhân;UBND Thành phố Hải Phòng
1749;1.013040.H24;Thủ tục khai, nộp phí bảo vệ môi trường đối với khí thải;Quản lý thuế, phí, lệ phí và thu khác của ngân sách nhà nước;UBND Thành phố Hải Phòng
1750;1.003743.000.00.00.H24;Thủ tục kiểm tra chuyên ngành văn hóa phẩm không nhằm mục đích kinh doanh trước khi xuất khẩu cấp tỉnh;Văn hóa;UBND Thành phố Hải Phòng
1751;2.001259.000.00.00.H24;Thủ tục kiểm tra nhà nước về chất lượng sản phẩm, hàng hóa hàng hóa nhóm 2 nhập khẩu;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1752;2.002400.000.00.00.H24;Thủ tục kê khai tài sản, thu nhập;Phòng, chống tham nhũng;UBND Thành phố Hải Phòng
1753;1.014217.H24;Thủ tục lấy ý kiến đối với việc sửa chữa, cải tạo, xây dựng nhà ở riêng lẻ nằm trong khu vực bảo vệ di tích, di sản thế giới (trường hợp không cấp giấy phép xây dựng);Di sản văn hóa;UBND Thành phố Hải Phòng
1754;1.014218.H24;Thủ tục lấy ý kiến đối với việc xây dựng nhà ở riêng lẻ nằm ngoài khu vực bảo vệ di tích, nằm ngoài vùng đệm của khu vực di sản thế giới có khả năng tác động tiêu cực đến yếu tố gốc cấu thành di tích, cảnh quan văn hóa của di tích, di sản thế giới (trường hợp không cấp giấy phép xây dựng);Di sản văn hóa;UBND Thành phố Hải Phòng
1755;1.000483.000.00.00.H24;Thủ tục lập phương án giá tiêu thụ, mức trợ giá (Lĩnh vực Giá);Quản lý giá;UBND Thành phố Hải Phòng
1756;2.001264.000.00.00.H24;Thủ tục lựa chọn thương nhân được phép tái xuất hàng hóa tạm nhập, tái xuất có điều kiện và hàng hóa tạm nhập, tái xuất theo Giấy phép qua cửa khẩu phụ, lối mở biên giới;Xuất nhập khẩu;UBND Thành phố Hải Phòng
1757;2.000977.000.00.00.H24;Thủ tục lựa chọn, ký hợp đồng với Luật sư;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1758;2.000970.000.00.00.H24;Thủ tục lựa chọn, ký hợp đồng với tổ chức hành nghề luật sư, tổ chức tư vấn pháp luật;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1759;1.001392.000.00.00.H24;Thủ tục miễn giảm kiểm tra chất lượng hàng hóa nhóm 2 nhập khẩu (cấp tỉnh);Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1760;1.009661.000.00.00.H24;Thủ tục ngừng hoạt động của dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Sở Kế hoạch và Đầu tư cấp Giấy chứng nhận đăng ký đầu tư;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1761;1.009771.000.00.00.H24;Thủ tục ngừng hoạt động của dự án đối với dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh hoặc Ban Quản lý;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1762;2.002039.000.00.00.H24;Thủ tục nhập quốc tịch Việt Nam;Quốc tịch;UBND Thành phố Hải Phòng
1763;2.001496.000.00.00.H24;Thủ tục phê duyệt nội dung tác phẩm mỹ thuật, tác phẩm nhiếp ảnh nhập khẩu cấp tỉnh;Mỹ thuật, nhiếp ảnh, triển lãm;UBND Thành phố Hải Phòng
1764;2.001509.000.00.00.H24;Thủ tục phê duyệt nội dung tác phẩm mỹ thuật, tác phẩm nhiếp ảnh nhập khẩu nhằm mục đích kinh doanh;Mỹ thuật, nhiếp ảnh, triển lãm;UBND Thành phố Hải Phòng
1765;1.009403.000.00.00.H24;Thủ tục ra nước ngoài dự thi người đẹp, người mẫu;Nghệ thuật biểu diễn;UBND Thành phố Hải Phòng
1766;1.013973.H24;Thủ tục ra quyết định bắt buộc chuyển giao quyền sử dụng sáng chế;Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1767;2.001680.000.00.00.H24;Thủ tục rút yêu cầu trợ giúp pháp lý của người được trợ giúp pháp lý;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1768;2.002382.000.00.00.H24;Thủ tục sửa đổi giấy phép tiến hành công việc bức xạ - Sử dụng thiết bị X-quang chẩn đoán trong y tế;An toàn bức xạ và hạt nhân;UBND Thành phố Hải Phòng
1769;2.002546.000.00.00.H24;Thủ tục sửa đổi, bổ sung Giấy chứng nhận chuyển giao công nghệ khuyến khích chuyển giao (trừ trường hợp thuộc thẩm quyền giải quyết của Bộ Khoa học và Công nghệ);Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1770;1.013793.H24;Thủ tục sửa đổi, bổ sung giấy chứng nhận đủ điều kiện hoạt động điểm cung cấp dịch vụ trò chơi điện tử công cộng;Phát thanh, truyền hình và thông tin điện tử;UBND Thành phố Hải Phòng
1771;2.002773.H24;Thủ tục sửa đổi, bổ sung giấy xác nhận thông báo cung cấp dịch vụ mạng xã hội;Phát thanh, truyền hình và thông tin điện tử;UBND Thành phố Hải Phòng
1772;1.001104.H24;Thủ tục sửa đổi, bổ sung/ cấp lại Giấy chứng nhận lưu hành tự do (CFS) đối với hàng hóa xuất khẩu;Xuất nhập khẩu;UBND Thành phố Hải Phòng
1773;1.004191.H24;"Thủ tục sửa đổi, bổ sung/ cấp lại Giấy phép kinh doanh tạm nhập, tái xuất; Giấy phép tạm nhập, tái xuất; Giấy phép tạm xuất, tái nhập; Giấy phép kinh doanh chuyển khẩu";Xuất nhập khẩu;UBND Thành phố Hải Phòng
1774;1.000421.H24;Thủ tục sửa đổi, bổ sung/ cấp lại Giấy phép quá cảnh hàng hóa;Xuất nhập khẩu;UBND Thành phố Hải Phòng
1775;1.000551.H24;Thủ tục sửa đổi, bổ sung/ cấp lại Mã số kinh doanh tạm nhập, tái xuất;Xuất nhập khẩu;UBND Thành phố Hải Phòng
1776;2.002080.000.00.00.H24;Thủ tục thanh toán thù lao cho hòa giải viên;Phổ biến giáo dục pháp luật;UBND Thành phố Hải Phòng
1777;2.001687.000.00.00.H24;Thủ tục thay đổi người thực hiện trợ giúp pháp lý;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1778;1.001233.000.00.00.H24;Thủ tục thay đổi nội dung Giấy đăng ký tham gia trợ giúp pháp lý;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1779;2.001100.000.00.00.H24;Thủ tục thay đổi, bổ sung phạm vi, lĩnh vực đánh giá sự phù hợp được chỉ định (cấp tỉnh);Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1780;1.004859.000.00.00.H24;Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc;Hộ tịch;UBND Thành phố Hải Phòng
1781;2.000748.000.00.00.H24;Thủ tục thay đổi, cải chính, bổ sung thông tin hộ tịch, xác định lại dân tộc có yếu tố nước ngoài;Hộ tịch;UBND Thành phố Hải Phòng
1782;1.012299.000.00.00.H24;Thủ tục thi tuyển Viên Chức (Nghị định số 85/2023/NĐ-CP);Công chức, viên chức;UBND Thành phố Hải Phòng
1783;1.011939.000.00.00.H24;Thủ tục thu hồi Giấy chứng nhận tổ chức giám định sở hữu công nghiệp (cấp tỉnh);Sở hữu trí tuệ;UBND Thành phố Hải Phòng
1784;2.001611.000.00.00.H24;Thủ tục thu hồi giấy phép kinh doanh dịch vụ lữ hành nội địa trong trường hợp doanh nghiệp chấm dứt hoạt động kinh doanh dịch vụ lữ hành;Du lịch;UBND Thành phố Hải Phòng
1785;2.001589.000.00.00.H24;Thủ tục thu hồi giấy phép kinh doanh dịch vụ lữ hành nội địa trong trường hợp doanh nghiệp giải thể;Du lịch;UBND Thành phố Hải Phòng
1786;1.003742.000.00.00.H24;Thủ tục thu hồi giấy phép kinh doanh dịch vụ lữ hành nội địa trong trường hợp doanh nghiệp phá sản;Du lịch;UBND Thành phố Hải Phòng
1787;2.001717.000.00.00.H24;Thủ tục thành lập tổ chức thanh niên xung phong cấp tỉnh;Công tác thanh niên;UBND Thành phố Hải Phòng
1788;1.009731.000.00.00.H24;Thủ tục thành lập văn phòng điều hành của nhà đầu tư nước ngoài trong hợp đồng BCC;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1789;1.009776.000.00.00.H24;Thủ tục thành lập văn phòng điều hành của nhà đầu tư nước ngoài trong hợp đồng BCC (BQL);Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1790;1.014312.H24;Thủ tục thôi hưởng trợ cấp sinh hoạt hàng tháng, bảo hiểm y tế đối với Nghệ nhân nhân dân, Nghệ nhân ưu tú;Di sản văn hóa;UBND Thành phố Hải Phòng
1791;2.000930.000.00.00.H24;Thủ tục thôi làm hòa giải viên (cấp xã);Phổ biến giáo dục pháp luật;UBND Thành phố Hải Phòng
1792;2.002036.000.00.00.H24;Thủ tục thôi quốc tịch Việt Nam ở trong nước;Quốc tịch;UBND Thành phố Hải Phòng
1793;1.003784.000.00.00.H24;Thủ tục thông báo nhập khẩu văn hóa phẩm (trừ di vật, cổ vật) không nhằm mục đích kinh doanh cấp tỉnh;Hoạt động mua bán quốc tế chuyên ngành văn hóa;UBND Thành phố Hải Phòng
1794;1.003654.000.00.00.H24;Thủ tục thông báo tổ chức lễ hội (thẩm quyền của UBND cấp tỉnh);Văn hóa;UBND Thành phố Hải Phòng
1795;1.003622.000.00.00.H24;Thủ tục thông báo tổ chức lễ hội cấp xã;Văn hóa;UBND Thành phố Hải Phòng
1796;1.001147.000.00.00.H24;Thủ tục thông báo tổ chức triển lãm do tổ chức ở địa phương hoặc cá nhân tổ chức tại địa phương không vì mục đích thương mại;Mỹ thuật, nhiếp ảnh, triển lãm;UBND Thành phố Hải Phòng
1797;1.004645.000.00.00.H24;Thủ tục thông báo tổ chức đoàn người thực hiện quảng cáo;Quảng cáo;UBND Thành phố Hải Phòng
1798;2.002004.000.00.00.H24;Thủ tục thông báo về việc chuyển nhượng phần vốn góp của các nhà đầu tư (cấp tỉnh);Hỗ trợ doanh nghiệp nhỏ và vừa;UBND Thành phố Hải Phòng
1799;1.013127.H24;Thủ tục thẩm định và phê duyệt kế hoạch ứng phó sự cố tràn dầu của các cảng tại địa phương, các Tổng kho xăng dầu, kho xăng dầu có tổng khối lượng dự trữ dưới 50.000m3, các cảng xăng dầu có khả năng tiếp nhận tàu có tải trọng dưới 50.000 DWT;Ứng phó sự cố tràn dầu;UBND Thành phố Hải Phòng
1800;1.013126.H24;Thủ tục thẩm định và phê duyệt kế hoạch ứng phó sự cố tràn dầu của các cảng, cơ sở, dự án tại địa phương;Ứng phó sự cố tràn dầu;UBND Thành phố Hải Phòng
1801;1.013128.H24;Thủ tục thẩm định và phê duyệt kế hoạch ứng phó sự cố tràn dầu đối với các cơ sở, cửa hàng kinh doanh xăng dầu trên đất liền, trên sông, trên biển.;Ứng phó sự cố tràn dầu;UBND Thành phố Hải Phòng
1802;1.009775.000.00.00.H24;Thủ tục thực hiện hoạt động đầu tư theo hình thức góp vốn, mua cổ phần, mua phần vốn góp đối với nhà đầu tư nước ngoài (Ban Quản lý thực hiện);Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1803;1.009729.000.00.00.H24;Thủ tục thực hiện hoạt động đầu tư theo hình thức góp vốn, mua cổ phần, mua phần vốn góp đối với nhà đầu tư nước ngoài (Sở Tài chính thực hiện);Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1804;2.000424.H24;Thủ tục thực hiện hỗ trợ khi hòa giải viên gặp tai nạn hoặc rủi ro ảnh hưởng đến sức khỏe, tính mạng trong khi thực hiện hoạt động hòa giải;Phổ biến giáo dục pháp luật;UBND Thành phố Hải Phòng
1805;2.002403.000.00.00.H24;Thủ tục thực hiện việc giải trình;Phòng, chống tham nhũng;UBND Thành phố Hải Phòng
1806;1.010943.000.00.00.H24;Thủ tục tiếp công dân cấp tỉnh;Tiếp công dân;UBND Thành phố Hải Phòng
1807;1.010945.000.00.00.H24;Thủ tục tiếp công dân tại cấp xã;Tiếp công dân;UBND Thành phố Hải Phòng
1808;1.004650.000.00.00.H24;Thủ tục tiếp nhận hồ sơ thông báo sản phẩm quảng cáo trên bảng quảng cáo, băng-rôn;Quảng cáo;UBND Thành phố Hải Phòng
1809;1.013791.H24;Thủ tục tiếp nhận hồ sơ đăng ký lễ hội quy mô cấp xã;Văn hóa;UBND Thành phố Hải Phòng
1810;1.001833.000.00.00.H24;Thủ tục tiếp nhận thông báo tổ chức thi sáng tác tác phẩm mỹ thuật (thẩm quyền của Sở Văn hóa, Thể thao và Du lịch);Mỹ thuật, nhiếp ảnh, triển lãm;UBND Thành phố Hải Phòng
1811;1.012301.000.00.00.H24;Thủ tục tiếp nhận vào viên chức không giữ chức vụ quản lý;Công chức, viên chức;UBND Thành phố Hải Phòng
1812;2.002402.000.00.00.H24;Thủ tục tiếp nhận yêu cầu giải trình;Phòng, chống tham nhũng;UBND Thành phố Hải Phòng
1813;1.013790.H24;Thủ tục tiếp nhận đăng ký danh mục báo chí nhập khẩu;Báo chí;UBND Thành phố Hải Phòng
1814;1.003888.000.00.00.H24;Thủ tục trưng bày tranh, ảnh và các hình thức thông tin khác bên ngoài trụ sở cơ quan đại diện nước ngoài, tổ chức nước ngoài (địa phương);Thông tin đối ngoại;UBND Thành phố Hải Phòng
1815;2.002038.000.00.00.H24;Thủ tục trở lại quốc tịch Việt Nam ở trong nước;Quốc tịch;UBND Thành phố Hải Phòng
1816;1.014352.H24;Thủ tục tuyển chọn chuyên gia;Lao động;UBND Thành phố Hải Phòng
1817;1.009397.000.00.00.H24;Thủ tục tổ chức biểu diễn nghệ thuật trên địa bàn quản lý (không thuộc trường hợp trong khuôn khổ hợp tác quốc tế của các hội chuyên ngành về nghệ thuật biểu diễn thuộc Trung ương, đơn vị sự nghiệp công lập có chức năng biểu diễn nghệ thuật thuộc Trung ương);Nghệ thuật biểu diễn;UBND Thành phố Hải Phòng
1818;1.009399.000.00.00.H24;Thủ tục tổ chức cuộc thi người đẹp, người mẫu;Nghệ thuật biểu diễn;UBND Thành phố Hải Phòng
1819;1.009398.000.00.00.H24;Thủ tục tổ chức cuộc thi, liên hoan trên địa bàn quản lý (không thuộc trường hợp toàn quốc và quốc tế của các hội chuyên ngành về nghệ thuật biểu diễn thuộc Trung ương, đơn vị sự nghiệp công lập có chức năng biểu diễn nghệ thuật thuộc Trung ương);Nghệ thuật biểu diễn;UBND Thành phố Hải Phòng
1820;2.002401.000.00.00.H24;Thủ tục xác minh tài sản, thu nhập;Phòng, chống tham nhũng;UBND Thành phố Hải Phòng
1821;1.003560.000.00.00.H24;Thủ tục xác nhận danh mục sản phẩm nghe nhìn có nội dung vui chơi giải trí nhập khẩu cấp tỉnh;Hoạt động mua bán quốc tế chuyên ngành văn hóa;UBND Thành phố Hải Phòng
1822;2.001179.000.00.00.H24;Thủ tục xác nhận hàng hóa sử dụng trực tiếp cho phát triển hoạt động ươm tạo công nghệ, ươm tạo doanh nghiệp khoa học  và công nghệ.;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1823;2.001683.000.00.00.H24;Thủ tục xác nhận phiên hiệu thanh niên xung phong ở cấp tỉnh;Công tác thanh niên;UBND Thành phố Hải Phòng
1824;2.002516.000.00.00.H24;Thủ tục xác nhận thông tin hộ tịch;Hộ tịch;UBND Thành phố Hải Phòng
1825;1.011729.H24;Thủ tục xác nhận vật tư, thiết bị là hàng hóa nhập khẩu phục vụ dự án chế tạo thiết bị sản xuất vật liệu xây không nung nhẹ và sản xuất gạch xi măng - cốt liệu công suất từ 10 triệu viên quy tiêu chuẩn/năm trở lên thuộc Nhóm 98.22.;Hải quan;UBND Thành phố Hải Phòng
1826;2.001613.000.00.00.H24;Thủ tục xác nhận đủ điều kiện được cấp giấy phép hoạt động bảo tàng ngoài công lập;Di sản văn hóa;UBND Thành phố Hải Phòng
1827;1.012353.000.00.00.H24;Thủ tục xác định dự án đầu tư có hoặc không sử dụng công nghệ lạc hậu, tiềm ẩn nguy cơ gây ô nhiễm môi trường, thâm dụng tài nguyên (trừ trường hợp thuộc thẩm quyền giải quyết của Bộ Khoa học và Công nghệ);Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1828;2.002722.H24;Thủ tục xác định nhiệm vụ khoa học và công nghệ cấp cơ sở sử dụng ngân sách nhà nước;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1829;3.000252.000.00.00.H24;Thủ tục xác định xe kinh doanh vận tải thuộc doanh nghiệp tạm dừng lưu hành liên tục từ 30 ngày trở lên;Thuế;UBND Thành phố Hải Phòng
1830;3.000251.000.00.00.H24;Thủ tục xác định xe thuộc diện không chịu phí, được bù trừ hoặc trả lại tiền phí đã nộp;Thuế;UBND Thành phố Hải Phòng
1831;3.000255.000.00.00.H24;Thủ tục xác định xe ô tô không tham gia giao thông, không sử dụng đường thuộc hệ thống giao thông đường bộ;Thuế;UBND Thành phố Hải Phòng
1832;1.012300.000.00.00.H24;Thủ tục xét tuyển Viên chức (85/2023/NĐ-CP);Công chức, viên chức;UBND Thành phố Hải Phòng
1833;1.001032.000.00.00.H24;Thủ tục xét tặng danh hiệu Nghệ nhân nhân dân trong lĩnh vực di sản văn hóa phi vật thể;Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1834;1.000971.000.00.00.H24;Thủ tục xét tặng danh hiệu Nghệ nhân ưu tú trong lĩnh vực di sản văn hóa phi vật thể;Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1835;1.001376.000.00.00.H24;Thủ tục xét tặng danh hiệu “Nghệ sĩ nhân dân” (đối với Hội đồng cấp cơ sở tại địa phương);Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1836;1.001108.000.00.00.H24;Thủ tục xét tặng danh hiệu “Nghệ sĩ ưu tú” (đối với Hội đồng cấp cơ sở tại địa phương);Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1837;1.000871.000.00.00.H24;Thủ tục xét tặng “Giải thưởng Hồ Chí Minh” về văn học, nghệ thuật;Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1838;1.000564.000.00.00.H24;Thủ tục xét tặng “Giải thưởng Nhà nước” về văn học, nghệ thuật;Thi đua – Khen thưởng;UBND Thành phố Hải Phòng
1839;3.000214.H24;Thủ tục xử lý miễn lãi các khoản lãi chậm nộp của Quỹ Hỗ trợ sắp xếp và phát triển doanh nghiệp (cấp Tỉnh);Tài chính doanh nghiệp;UBND Thành phố Hải Phòng
1840;2.002499.000.00.00.H24;Thủ tục xử lý đơn tại cấp tỉnh;Xử lý đơn thư;UBND Thành phố Hải Phòng
1841;2.002501.000.00.00.H24;Thủ tục xử lý đơn tại cấp xã;Xử lý đơn thư;UBND Thành phố Hải Phòng
1842;2.000829.000.00.00.H24;Thủ tục yêu cầu trợ giúp pháp lý;Trợ giúp pháp lý;UBND Thành phố Hải Phòng
1843;1.009759.000.00.00.H24;Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của Ban Quản lý;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1844;1.009646.000.00.00.H24;Thủ tục điều chỉnh dự án đầu tư thuộc thẩm quyền chấp thuận chủ trương đầu tư của UBND cấp tỉnh;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1845;1.009760.000.00.00.H24;Thủ tục điều chỉnh dự án đầu tư đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận điều chỉnh chủ trương đầu tư (Ban Quản lý thực hiện);Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1846;1.009647.000.00.00.H24;Thủ tục điều chỉnh dự án đầu tư đã được cấp Giấy chứng nhận đăng ký đầu tư và không thuộc diện chấp thuận điều chỉnh chủ trương đầu tư (Sở Tài chính thực hiện);Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1847;2.002726.H24;Thủ tục điều chỉnh mục tiêu hoạt động của dự án thực hiện theo thủ tục đầu tư đặc biệt;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1848;1.000449.000.00.00.H24;Thủ tục điều chỉnh nội dung bản công bố sử dụng dấu định lượng;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1849;3.000472.H24;Thủ tục điều chỉnh nội dung quyết định chứng nhận, cấp thẻ, cấp lại thẻ kiểm định viên đo lường;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1850;3.000470.H24;Thủ tục điều chỉnh quyết định chứng nhận chuẩn đo lường dùng trực tiếp để kiểm định phương tiện đo nhóm 2;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1851;3.000508.H24;Thủ tục điều chỉnh quyết định giao chủ đầu tư, quyết định chấp thuận chủ trương đầu tư đồng thời giao chủ đầu tư đối với dự án đầu tư xây dựng nhà ở xã hội;Nhà ở và công sở;UBND Thành phố Hải Phòng
1852;1.009644.000.00.00.H24;Thủ tục điều chỉnh văn bản chấp thuận nhà đầu tư thuộc thẩm quyền của UBND cấp tỉnh;Đầu tư tại Việt nam;UBND Thành phố Hải Phòng
1853;1.013701.H24;Thủ tục điều chỉnh, bổ sung thông tin trong giấy phép thành lập văn phòng đại diện tại Việt Nam của Nhà xuất bản nước ngoài, tổ chức phát hành xuất bản phẩm nước ngoài;Xuất Bản, In và Phát hành;UBND Thành phố Hải Phòng
1854;1.009440.000.00.00.H24;Thủ tục điện tử đối với phương tiện thủy nội địa Việt Nam, Campuchia nhập cảnh vào cảng thủy nội địa Việt Nam;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
1855;1.009441.000.00.00.H24;Thủ tục điện tử đối với phương tiện thủy nội địa Việt Nam, Campuchia xuất cảnh rời cảng thủy nội địa Việt Nam;Hàng hải và đường thủy nội địa;UBND Thành phố Hải Phòng
1856;1.006427.H24;Thủ tục đánh giá kết quả thực hiện nhiệm vụ khoa học và công nghệ không sử dụng ngân sách nhà nước (cấp tỉnh);Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1857;2.002724.H24;Thủ tục đánh giá, nghiệm thu nhiệm vụ cấp cơ sở sử dụng ngân sách nhà nước;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1858;2.002711.H24;Thủ tục đánh giá, nghiệm thu nhiệm vụ cấp tỉnh sử dụng ngân sách nhà nước;Hoạt động khoa học và công nghệ;UBND Thành phố Hải Phòng
1859;1.002022.000.00.00.H24;Thủ tục đăng cai giải thi đấu, trận thi đấu do liên đoàn thể thao quốc gia hoặc liên đoàn thể thao quốc tế tổ chức hoặc đăng cai tổ chức;Thể dục thể thao;UBND Thành phố Hải Phòng
1860;1.002013.000.00.00.H24;Thủ tục đăng cai giải thi đấu, trận thi đấu thể thao thành tích cao khác do liên đoàn thể thao tỉnh, thành phố trực thuộc trung ương tổ chức;Thể dục thể thao;UBND Thành phố Hải Phòng
1861;1.001782.000.00.00.H24;Thủ tục đăng cai tổ chức giải thi đấu vô địch từng môn thể thao của tỉnh, thành phố trực thuộc trung ương;Thể dục thể thao;UBND Thành phố Hải Phòng
1862;1.004845.000.00.00.H24;Thủ tục đăng ký chấm dứt giám hộ;Hộ tịch;UBND Thành phố Hải Phòng
1863;2.000756.000.00.00.H24;Thủ tục đăng ký chấm dứt giám hộ có yếu tố nước ngoài;Hộ tịch;UBND Thành phố Hải Phòng
1864;2.001209.000.00.00.H24;Thủ tục đăng ký công bố hợp chuẩn dựa trên kết quả chứng nhận hợp chuẩn của tổ chức chứng nhận;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1865;2.001207.000.00.00.H24;Thủ tục đăng ký công bố hợp chuẩn dựa trên kết quả tự đánh giá của tổ chức, cá nhân sản xuất, kinh doanh;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
1866;2.001277.000.00.00.H24;Thủ tục đăng ký công bố hợp quy đối với các sản phẩm, hàng hóa sản xuất trong nước, dịch vụ, quá trình, môi trường được quản lý bởi các quy chuẩn kỹ thuật quốc gia do Bộ Khoa học và Công nghệ ban hành;Tiêu chuẩn đo lường chất lượng;UBND Thành phố Hải Phòng
