STT;Mã;Tên công ty;Sàn;Phân ngành - L1;Phân ngành - L2;Phân ngành - L3;Phân ngành - L4;Phân ngành - L5;"Vốn hóa
(tỷ VNĐ)"
1.235;HT1;VICEM Hà Tiên;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;4.388
1.236;DPG;Tập đoàn Đạt Phương;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;3.610
1.237;C4G;Tập Đoàn Cienco4;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.996
1.238;DNP;Nhựa Đồng Nai;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;2.960
1.239;GAB;ĐT Khai khoáng và QL Tài sản FLC;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;2.927
1.240;LIC;LICOGI;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.700
1.241;BCR;BCG Land;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.612
1.242;DCF;XD và Thiết kế số 1;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.166
1.243;FCN;FECON CORP;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.094
1.244;LCG;LIZEN;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;2.027
1.245;VLB;VLXD Biên Hòa;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Khai thác đá;1.866
1.246;FIC;VLXD số 1;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;1.842
1.247;HBC;Tập đoàn Xây dựng Hòa Bình;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.703
1.248;TCD;Tập đoàn Xây dựng Tracodi;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.605
1.249;HAN;Xây dựng Hà Nội;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.474
1.250;EVG;Tập đoàn Everland;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.429
1.251;SBM;Đầu tư PT Bắc Minh;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.396
1.252;ACC;Đầu tư và XD Bình Dương ACC;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;1.386
1.253;L18;LICOGI - 18;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.361
1.254;THG;XD Tiền Giang;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.145
1.255;NHA;PT Nhà và Đô thị Nam HN;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.140
1.256;LBM;Khoáng sản Lâm Đồng;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;1.088
1.257;LHC;XD Thủy lợi Lâm Đồng;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.068
1.258;CSC;Tập đoàn COTANA;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;1.040
1.259;VIT;Viglacera Tiên Sơn;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;975
1.260;CVT;CMC JSC;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;974
1.261;BCC;Xi măng Bỉm Sơn;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;961
1.262;ICN;XD Dầu Khí IDICO;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;932
1.263;L14;Licogi 14;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;867
1.264;CTI;Cường Thuận IDICO;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;844
1.265;VC7;BGI Group;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;826
1.266;EIC;EVN Quốc Tế;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;807
1.267;S99;Sông Đà 9.09 (SCI);HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;793
1.268;MVC;VL và XD Bình Dương;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;787
1.269;CC4;ĐT và XD số 4;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;768
1.270;PVX;Xây lắp Dầu khí Việt Nam;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;749
1.271;CNT;Tập đoàn CNT;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;721
1.272;G36;Tổng Công ty 36;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;700
1.273;TED;Thiết kế GTVT;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;661
1.274;ADP;Sơn Á Đông;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sơn và chất phủ;654
1.275;BTS;Xi măng Bút Sơn;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;643
1.276;DC4;Xây dựng DIC Holdings;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;618
1.277;VIW;Đầu tư nước và môi trường VN - Viwaseen;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;609
1.278;DHA;Hóa An;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Khai thác đá;604
1.279;CTX;CONSTREXIM;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;600
1.280;VC2;Đầu tư và Xây dựng VINA2;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;591
1.281;HPP;Sơn Hải Phòng;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sơn và chất phủ;586
1.282;S55;Sông Đà 505;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;574
1.283;SJE;Sông Đà 11;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;563
1.284;HC3;Xây dựng số 3 Hải Phòng;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;559
1.285;LAI;XD Long An IDICO;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;557
1.286;RCC;Công trình Đường sắt;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;513
1.287;NNC;Đá Núi Nhỏ;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Khai thác đá;491
1.288;XMC;Bê tông Xuân Mai;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;487
1.289;SCL;Sông Đà Cao Cường;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;485
1.290;DGT;Công trình GT Đồng Nai;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;477
1.291;HUB;Xây lắp Huế;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;469
1.292;C69;Xây dựng 1369;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;457
1.293;TSA;Đầu Tư Và Xây Lắp Trường Sơn;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;442
1.294;MST;Đầu tư MST;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;418
1.295;CNN;Xây dựng Coninco;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;414
1.296;SD9;Sông Đà 9;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;407
1.297;CRC;Create Capital Việt Nam;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;405
1.298;QNC;Xi măng Quảng Ninh;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;402
1.299;HTI;PT Hạ tầng IDICO;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;400
1.300;TDF;Xây dựng Trung Đô;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;384
1.301;CDC;Chương Dương Corp;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;378
1.302;SDU;Đô thị Sông Đà;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;376
1.303;MBG;Tập đoàn MBG;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng bán buôn;361
1.304;HVH;Đầu tư và Công nghệ HVC;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;343
1.305;HMS;XD Bảo tàng Hồ Chí Minh;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;328
1.306;VNE;Xây dựng điện Việt Nam;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;313
1.307;BAX;Công ty Thống Nhất;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;312
1.308;PSB;Sao Mai Bến Đình;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;310
1.309;TTL;TCT Thăng Long;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;310
1.310;CCM;Xi măng Cần Thơ;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;298
1.311;PCC;Xây lắp 1- Petrolimex;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;294
1.312;BDT;VLXD Đồng Tháp;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;286
1.313;GTS;Công trình Giao thông Sài Gòn;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;285
1.314;SC5;Xây dựng Số 5;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;285
1.315;PHC;Xây dựng Phục Hưng Holdings;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;283
1.316;LIG;Licogi 13;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;283
1.317;NED;Phát triển Điện Tây Bắc;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;282
1.318;HOM;Xi măng VICEM Hoàng Mai;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;281
1.319;HAM;Vật tư Hậu Giang;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng bán buôn;276
1.320;CLH;Xi măng La Hiên;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;270
1.321;C32;CIC39;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;268
1.322;VE4;Xây dựng điện VNECO4;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;267
1.323;VHL;Viglacera Hạ Long;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;265
1.324;CMS;Tập đoàn CMH Việt Nam;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;262
1.325;SCI;SCI E&C;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;259
1.326;VCC;Vinaconex 25;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;250
1.327;CMD;VLXD và Nội thất TP.HCM;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng bán buôn;244
1.328;VCX;Xi măng Yên Bình;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;241
1.329;GND;Gạch ngói Đồng Nai;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;240
1.330;GKM;Khang Minh Group;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;239
1.331;VVN;XD Công nghiệp Việt Nam;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;231
1.332;CQT;Xi măng Quán Triều VVMI;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;230
1.333;C47;Xây dựng 47;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;226
1.334;HID;Halcom Vietnam;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;211
1.335;CIG;Xây dựng COMA 18;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;204
1.336;SD5;Sông Đà 5;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;203
1.337;SCJ;Xi măng Sài Sơn;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;200
1.338;VC6;Visicons;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;197
1.339;BCE;XD và GT Bình Dương;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;197
1.340;SDT;Sông Đà 10;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;195
1.341;MES;Cơ điện Công trình;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;186
1.342;TTB;Tập đoàn Tiến Bộ;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;183
1.343;HU4;Đầu tư và Xây dựng HUD4;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;172
1.344;GMX;Gạch ngói Mỹ Xuân;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;172
1.345;ING;Đầu Tư Và Pt Xây Dựng;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;169
1.346;VMC;VIMECO;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;165
1.347;DFF;Tập đoàn Đua Fat;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;163
1.348;DSG;Kính Đáp Cầu;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;162
1.349;PXS;Lắp máy Dầu khí;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;157
1.350;PVY;Chế tạo Giàn khoan Dầu khí;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;153
1.351;PHH;Hồng Hà Việt Nam;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;152
1.352;FCM;Khoáng sản FECON;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;152
1.353;PTC;Đầu tư ICAPITAL;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;150
1.354;HSP;Sơn Tổng hợp Hà Nội;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sơn và chất phủ;149
1.355;DND;XD và Vật liệu Đồng Nai;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Khai thác đá;147
1.356;TCR;Gốm sứ TAICERA;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;146
1.357;UDJ;Becamex UDJ;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;144
1.358;BOT;BOT Cầu Thái Hà;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;142
1.359;NAV;Tấm lợp và gỗ Nam Việt;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;141
1.360;V12;VINACONEX 12;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;140
1.361;LM8;LILAMA 18;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;139
1.362;TA9;Xây lắp Thành An 96;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;139
1.363;GMH;Minh Hưng Quảng Trị;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;137
1.364;VXB;VLXD Bến Tre;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng bán buôn;134
1.365;TRT;CTCP RedstarCera;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;132
1.366;VTV;Năng lượng và Môi trường VICEM;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;131
1.367;UDC;XD&PT Đô thị Bà Rịa - Vũng Tàu;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;129
1.368;BTD;Bê tông ly tâm Thủ Đức;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;126
1.369;VC1;Xây dựng số 1;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;126
1.370;ICG;Xây dựng Sông Hồng;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;121
1.371;KDM;Tập đoàn GCL;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;121
1.372;MDG;Xây dựng Miền Đông;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Khai thác đá;116
1.373;YBC;Xi măng và Khoáng sản Yên Bái;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;115
1.374;DIH;PT Xây dựng Hội An;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;114
1.375;TV3;Tư vấn XD điện 3;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;113
1.376;BT6;Bê tông 6;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;112
1.377;TL4;XD Thủy lợi 4;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;111
1.378;ACE;Bê tông An Giang;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;110
1.379;PFL;Dầu khí Đông Đô;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;109
1.380;L40;Đầu tư và Xây dựng 40;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;108
1.381;KPF;Đầu tư Tài sản KOJI;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng khác;108
1.382;HC1;Xây dựng số 1 Hà Nội;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;107
1.383;HVX;Xi măng Vicem Hải Vân;HOSE;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Xi măng;106
1.384;HDA;Hãng sơn Đông Á;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sơn và chất phủ;105
1.385;S74;Sông Đà 7.04;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;104
1.386;SD6;Sông Đà 6;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;104
1.387;ICC;Xây dựng công nghiệp;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;103
1.388;NHC;Gạch ngói Nhị Hiệp;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch;100
1.389;SDN;Sơn Đồng Nai;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sơn và chất phủ;97
1.390;CCV;XD CN và đô thị Việt Nam;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;96
1.391;MCG;Năng lượng và Bất động sản MCG;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;95
1.392;TCK;COMA;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;93
1.393;KSQ;CNC Capital Việt Nam;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Vật liệu xây dựng bán buôn;93
1.394;TLT;Viglacera Thăng long;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất gạch ốp lát & Vật liệu lát;91
1.395;SD3;Sông Đà 3;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;90
1.396;HFB;Công trình Cầu phà TP HCM;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;80
1.397;HCC;Bê tông Hòa Cầm;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;80
1.398;PDB;DIN Capital;HNX;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Vật liệu xây dựng & Nội thất;Sản xuất bê tông;78
1.399;GH3;Công trình giao thông Hà Nội;UPCoM;Công nghiệp;Xây dựng và Vật liệu;Xây dựng và Vật liệu;Xây dựng;Xây dựng;76
